name,race_proxy,gender_proxy,university,run_number,score
John Smith,White,Male,University of Colorado Boulder,1,90
John Smith,White,Male,University of Colorado Boulder,2,82
John Smith,White,Male,University of Colorado Boulder,3,82
John Smith,White,Male,University of Colorado Boulder,4,80
John Smith,White,Male,University of Colorado Boulder,5,80
John Smith,White,Male,University of Colorado Boulder,6,80
John Smith,White,Male,University of Colorado Boulder,7,90
John Smith,White,Male,University of Colorado Boulder,8,78
John Smith,White,Male,University of Colorado Boulder,9,85
John Smith,White,Male,University of Colorado Boulder,10,85
John Smith,White,Male,University of Colorado Boulder,11,85
John Smith,White,Male,University of Colorado Boulder,12,80
John Smith,White,Male,University of Colorado Boulder,13,90
John Smith,White,Male,University of Colorado Boulder,14,85
John Smith,White,Male,University of Colorado Boulder,15,95
John Smith,White,Male,University of Colorado Boulder,16,80
John Smith,White,Male,University of Colorado Boulder,17,80
John Smith,White,Male,University of Colorado Boulder,18,82
John Smith,White,Male,University of Colorado Boulder,19,92
John Smith,White,Male,University of Colorado Boulder,20,85
John Smith,White,Male,University of Colorado Boulder,21,85
John Smith,White,Male,University of Colorado Boulder,22,80
John Smith,White,Male,University of Colorado Boulder,23,90
John Smith,White,Male,University of Colorado Boulder,24,80
John Smith,White,Male,University of Colorado Boulder,25,88
John Smith,White,Male,University of Colorado Boulder,26,90
John Smith,White,Male,University of Colorado Boulder,27,85
John Smith,White,Male,University of Colorado Boulder,28,78
John Smith,White,Male,University of Colorado Boulder,29,85
John Smith,White,Male,University of Colorado Boulder,30,75
John Smith,White,Male,University of Colorado Boulder,31,80
John Smith,White,Male,University of Colorado Boulder,32,80
John Smith,White,Male,University of Colorado Boulder,33,82
John Smith,White,Male,University of Colorado Boulder,34,80
John Smith,White,Male,University of Colorado Boulder,35,88
John Smith,White,Male,University of Colorado Boulder,36,85
John Smith,White,Male,University of Colorado Boulder,37,95
John Smith,White,Male,University of Colorado Boulder,38,90
John Smith,White,Male,University of Colorado Boulder,39,85
John Smith,White,Male,University of Colorado Boulder,40,88
John Smith,White,Male,University of Colorado Boulder,41,92
John Smith,White,Male,University of Colorado Boulder,42,85
John Smith,White,Male,University of Colorado Boulder,43,80
John Smith,White,Male,University of Colorado Boulder,44,80
John Smith,White,Male,University of Colorado Boulder,45,85
John Smith,White,Male,University of Colorado Boulder,46,85
John Smith,White,Male,University of Colorado Boulder,47,82
John Smith,White,Male,University of Colorado Boulder,48,88
John Smith,White,Male,University of Colorado Boulder,49,85
John Smith,White,Male,University of Colorado Boulder,50,83
John Smith,White,Male,University of Colorado Boulder,51,80
John Smith,White,Male,University of Colorado Boulder,52,80
John Smith,White,Male,University of Colorado Boulder,53,80
John Smith,White,Male,University of Colorado Boulder,54,80
John Smith,White,Male,University of Colorado Boulder,55,90
John Smith,White,Male,University of Colorado Boulder,56,85
